ACCESSION	EXP COUNT
GSE708	2
GSE1620	10
GSE2775	1
GSE3101	14
GSE3102	1
GSE3103	1
GSE3104	2
GSE3198	24
GSE3209	42
GSE3576	1
GSE3577	1
GSE3622	1
GSE3636	23
GSE3953	55
GSE4293	1
GSE4875	1
GSE4876	1
GSE5495	47
GSE6005	6
GSE6097	1
GSE6217	2
GSE6218	5
GSE6468	4
GSE6471	3
GSE6616	1
GSE6617	1
GSE6865	91
GSE7048	4
GSE7070	24
GSE7519	1
GSE9266	1
GSE9823	6
GSE10261	4
GSE11554	15
GSE11555	24
GSE12372	12
GSE12377	1
GSE13711	12
GSE13713	6
GSE13729	12
GSE14360	10
GSE14589	2
GSE15140	12
GSE15533	2
GSE15630	1
GSE16439	33
GSE17144	1
GSE18763	10
GSE18807	20
GSE19334	5
GSE19464	6
GSE19479	6
GSE19831	59
GSE20374	2
GSE20397	12
GSE22190	66
GSE22370	2
GSE23419	1
GSE24405	2
GSE24406	2
GSE24407	1
GSE27264	2
GSE27265	1
GSE28216	3
GSE29024	2
GSE29109	3
GSE31083	2
Accessions: 67	Experiments: 732
