GSE15533	Sakai chlorine / control...	0.828
b0008	b0008	11.242	0.336
c0012	c0012	11.242	0.336
ecs0008	ecs0008	11.242	0.336
z0008	z0008	11.242	0.336
b0012	b0012	8.783	0.369
b0013	b0013	8.928	0.193
ecs0013	ecs0013	8.928	0.193
z0013	z0013	8.928	0.193
c0017	c0017	8.928	0.193
b0016	b0016	3.055	0.290
b0017	b0017	2.632	-0.950
b0020	b0020	10.070	-0.044
z0019	z0019	10.070	-0.044
ecs0018	ecs0018	10.070	-0.044
b0021	b0021	4.701	-0.610
b0022	b0022	-1.369	-2.332
b0027	b0027	-0.652	-1.459
c0031	c0031	-0.652	-1.459
b0036	b0036	9.459	0.139
z0042	z0042	9.459	0.139
ecs0039	ecs0039	9.459	0.139
c0045	c0045	9.459	0.139
b0037	b0037	4.665	-0.249
b0038	b0038	4.173	-0.320
b0044	b0044	9.195	0.270
c0054	c0054	9.195	0.270
z0050	z0050	9.195	0.270
ecs0047	ecs0047	9.195	0.270
b0047	b0047	9.015	0.443
z0053	z0053	9.015	0.443
ecs0050	ecs0050	9.015	0.443
c0057	c0057	9.015	0.443
b0052	b0052	5.541	-1.033
b0056	b0056	-1.536	0.208
b4659	b4659	-1.536	0.208
b0057	b0057	2.610	0.211
b0059	b0059	9.858	-0.572
z0067	z0067	9.858	-0.572
ecs0063	ecs0063	9.858	-0.572
b0060	b0060	0.873	0.853
b0064	b0064	9.321	-0.077
c0076	c0076	9.321	-0.077
z0073	z0073	9.321	-0.077
ecs0068	ecs0068	9.321	-0.077
b0065	b0065	4.838	-1.299
b0069	b0069	0.536	0.452
b0070	b0070	0.680	-0.596
b0073	b0073	0.434	-0.614
b0077	b0077	0.338	-1.244
b0078	b0078	8.857	0.179
z0088	z0088	8.857	0.179
ecs0082	ecs0082	8.857	0.179
c0096	c0096	8.857	0.179
b0079	b0079	10.132	0.091
b0082	b0082	10.129	-0.211
z0092	z0092	10.129	-0.211
ecs0086	ecs0086	10.129	-0.211
c0100	c0100	10.129	-0.211
b0084	b0084	9.853	0.196
ecs0088	ecs0088	9.853	0.196
z0094	z0094	9.853	0.196
c0102	c0102	9.853	0.196
b0089	b0089	9.837	-0.247
c0107	c0107	9.837	-0.247
ecs0093	ecs0093	9.837	-0.247
z0099	z0099	9.837	-0.247
b0100	b0100	10.418	-0.041
b0105	b0105	10.442	0.221
b0106	b0106	9.048	0.246
z0116	z0116	9.048	0.246
ecs0110	ecs0110	9.048	0.246
b0107	b0107	2.649	-1.315
b0112	b0112	2.760	-0.425
b0116	b0116	10.807	0.797
c0145	c0145	10.807	0.797
z0126	z0126	10.807	0.797
ecs0120	ecs0120	10.807	0.797
b0117	b0117	9.146	0.259
z0127	z0127	9.146	0.259
ecs0121	ecs0121	9.146	0.259
b0118	b0118	4.935	-1.148
b0120	b0120	9.245	-0.306
z0130	z0130	9.245	-0.306
ecs0124	ecs0124	9.245	-0.306
c0149	c0149	9.245	-0.306
b0123	b0123	4.710	-1.449
b0126	b0126	10.137	0.612
ecs0130	ecs0130	10.137	0.612
z0137	z0137	10.137	0.612
c0155	c0155	10.137	0.612
b0130	b0130	9.301	0.275
c0159	c0159	9.301	0.275
z0141	z0141	9.301	0.275
ecs0134	ecs0134	9.301	0.275
b0132	b0132	1.554	-0.141
b0133	b0133	10.014	0.346
b0134	b0134	1.667	-0.212
b0135	b0135	0.033	-0.639
b0136	b0136	1.216	-2.978
b0137	b0137	0.261	-0.635
b0138	b0138	-0.114	-1.358
b0139	b0139	3.321	-0.171
b0140	b0140	2.966	0.936
b0141	b0141	3.535	-0.048
b0142	b0142	3.876	-0.553
b0143	b0143	10.975	-0.625
ecs0147	ecs0147	10.975	-0.625
z0154	z0154	10.975	-0.625
b0144	b0144	4.654	-0.458
