ACCESSION	EXP COUNT
GSE22168 => 6
GSE5552 => 3
GSE27061 => 1
GSE20305 => 30
GSE15752 => 1
GSE20321 => 2
GSE18575 => 1
GSE17070 => 2
GSE11555 => 24
GSE25441 => 29
GSE10319 => 4
GSE11554 => 15
GSE6644 => 1
GSE15059 => 1
GSE20957 => 1
GSE26536 => 7
GSE21427 => 4
GSE23825 => 25
GSE20606 => 1
GSE4562 => 5
GSE6195 => 3
GSE26042 => 1
GSE30634 => 12
GSE38475 => 2
GSE8708 => 4
GSE20274 => 1
GSE7558 => 4
GSE25195 => 7
GSE23498 => 9
GSE8706 => 2
GSE12210 => 2
GSE30724 => 1
GSE6923 => 7
GSE19840 => 2
GSE9331 => 12
GSE21590 => 1
Accessions: 36	Experiments: 233
